NPC1, NPC2,NPC3,NPC4,NPC5,NPC6,NPC7,,,,,,,,,,,,
"Hey man , you wanna buy some weed ?",Some what ?,"Hello , is Sue there ?",Who ?,Could you please help me to check out the book ?,"Sure , what's the author's name , please .","Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D...",,,,,,,,,,,,
"Weed ! You know ? Pot , Ganja , Mary Jane some chronic !","Oh , umm , no thanks .",Sue John .,You must have the wrong number .,I can't remember that clearly . It probably be Charles ...,Charles Dickens ?,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,,,,,,,,,,,,
I also have blow if you prefer to do a few lines .,"No , I am ok , really .","Oh , I'm sorry .",You can place the smaller one in the overhead bin and put the bigger one under the seat in front of you .,"No , no , no . I'm not interested in literature .","OK , do you know the title of the book ?", I dived many times for the ball. Managed to save 50%  The rest go out of bounds,,,,,,,,,,,,
Come on man ! I even got dope and acid ! Try some !,Do you really have all of these drugs ? Where do you get them from ?,"Sorry , stewardess . Where shall I put my bags ?",Please make sure to fasten your seat belt . We are to take off .,"Oh , sorry . I'm always absent-minded . I remember that I've put a note in my pocket .","So , show me the note please .",my whole body feels itchy and like its on fire ...,,,,,,,,,,,,
I got my connections ! Just tell me what you want and I ?ll even give you one ounce for free .,"Sounds good ! Let ?s see , I want .",Thank you very much .,I love this store . The only problem is that it ?s extremely expensive .,I can't find it now .,"Oh , such bad luck , sir . Can you please name the category of the book ?"," no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",,,,,,,,,,,,
Yeah ?,I want you to put your hands behind your head ! You are under arrest !,What do you think about this store ? I heard it ?s a posh store that ?s only got branches in big cities .,Really ? I thought you hated shopping ?,Let me see . It's not fiction . It's biography .,"OK , I'll search it for you . A moment , please .", not the whole crew ...,,,,,,,,,,,,
The taxi drivers are on strike again .,What for ?,Don ?t worry . I ?Ve decided that for your birthday I ?m going to take you shopping for a new dress .,Sure . That ?s really nice of you . Let ?s go in and try some things on .,Thanks .,"I look at many things , attendance , quizzes , and tests .",Need a hug ...,,,,,,,,,,,,
They want the government to reduce the price of the gasoline .,It is really a hot potato .,"I do , that ?s why you should appreciate this gift !",That ?s gorgeous ! Do they have it in a size 8 ?,How do you decide what grade we get ?,"Obviously I look for improvement as we go along , but I would like you to do your best from the beginning ."," hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",,,,,,,,,,,,
We've managed to reduce our energy consumption in our factory by about 15 per cent in the last two years .,That's excellent . How have you managed that ?,How about this red dress ? I think it would really suit you .,I think this color isn ?t quite right for me . Do they have the same dress in white ?,What is the most important factor ?,"The final and midterm are 40 percent of your grade ; homework , attendance , and quizzes total 60 percent .", nope they didn't have it ,,,,,,,,,,,,
Mainly because we've invested in a heat recovery system .,What does that mean exactly ?,"Here you go.On any other day , it would cost me a fortune , but it ?s on special offer today .",This is perfect ! What do you think ?,How can we keep track of our grades ?,You can only miss one class without penalty ., que me muera ? ...,,,,,,,,,,,,
"Well , we use the exhaust gases from our printing presses to provide energy to heat our dryers .",What other sources of energy do you use ?,"Let me look . Let ?s see ... they ?Ve got one in blue , green , pink , black ... and white . Here you are .",I ?m so lucky . You only get a chance like this once in a blue moon ! Thanks honey !,What if we can't get to school ?,I will be letting you know during the year if you have a major problem .,spring break in plain city... it's snowing ...,,,,,,,,,,,,
We don't use any fossil fuels . Most of our power comes from hydro-electric plants . We're hoping to use even more energy from alternative sources in the future - perhaps even wind power .,"Well , people from Asia to Europe all enjoy tea .",I think you look fantastic . Happy Birthday !,I've been trying to get through to the booking office for the last ten minutes . But the line has been engaged all the time . Why is it taking so long ?,"If we have a major problem , will you let us know ?",Have you thought about the cost ?,I just re-pierced my ears ...,,,,,,,,,,,, 
"Believe it or not , tea is the most popular beverage in the world after water .","Yes , Chinese people love drinking tea so much . Some even claim they can't live without tea .",The hotel operator . Anything I can do for you ?,OK . Please do so if it is not troublesome .,We're thinking about going to America .,I believe it'll be very expensive ., I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . ....,,,,,,,,,,,,
Right . And China is the homeland of tea .,"Yes , I believe there are green teas , black teas and scented teas . Any Others ?",I'm sorry to hear that . I'm afraid it is often the case during the peak hours . Shall I ask them to call you when the line is free ?,"I'm Du Juan , in Room 312 .",There is that .,I would like to return some books .," It it counts, idk why I did either. you never talk to me anymore ...",,,,,,,,,,,,
Do you know there are several catagories of Chinese tea ?,"Oh , yeah . Oulong tea is good for one's health . isn't it ?",No trouble at all . May I know your name and room number ?,Thank you for your kindness .,May I help you with something ?,Here you go .," i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown....",,,,,,,,,,,,
"Well , have you ever heard of Oulong tea and compressed tea ?","Sure , I like drinking tea at teahouses .","I see . Wait in the room , please .",I couldn't agree more !,I ?ll take them .,Yeah . I totally forgot they were due ., I wish I got to watch it with you!! I miss you and   how was the premiere?!...,,,,,,,,,,,,
You surely know a lot about Chinese tea .,Why don't we go for one now ?,Let's have seafood for a change.How about oyster and lobster ?,"Oh , yeah , two beers .",These books were due two weeks ago .,How much are the late fees ?,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,,,,,,,,,,,,
"Oh , so do I .",Let's go !,Anything else you want to add ?,"Sure , here they are .",You will need to pay late fees on these books .,I have to pay 25 cents a day ?,about to file taxes ...,,,,,,,,,,,,
Great . We can chat while enjoying a cup there .,"I ?m afraid I ?m a poor talker . I ?m not comfortable talking with the people whom I have just met for the first time . That is not very good for business , so I have been studying public speaking .","May I see your ticket and passport , PLS ?",Just this suitcase .,The fee is 25 cents every day .,That shouldn ?t be a problem ., ahh ive always wanted to see rent  love the soundtrack!!...,,,,,,,,,,,,
What are your personal weaknesses ?,"I don ?t try to lead people . I ?d rather cooperate with everybody , and get the job done by working together .",Any luggage ?,No problem . What about this carry-on ?,And that ?s for each book that is late .,It sure is ! The water looks so nice ! Anchor the boat for a little while . I ?m going to take a dip ., Oh dear. Were you drinking out of the forgotten table drinks? ,,,,,,,,,,,,
Are you more of a leader or a follower ?,"Yes , in most circumstances .",Your backpack is very big and today's flight is quite full . I am afraid that you will have to check your backpack too .,"Can I have an aisle seat , PLS .",This is such a beautiful day ! Great for sailing !,"I get too tired ! I ?ll just backstroke , it ?s easier !", i was out most of the day so didn't get much done ...,,,,,,,,,,,,
